Method Job AnalyzeLaunchVariance EvaluateOverhead MaxAbsoluteError MaxRelativeError MinInvokeCount MinIterationTime OutlierMode Affinity EnvironmentVariables Jit Platform Runtime AllowVeryLargeObjects Concurrent CpuGroups Force HeapAffinitizeMask HeapCount NoAffinitize RetainVm Server PowerPlan Arguments BuildConfiguration Clock EngineFactory NuGetReferences Toolchain IsMutator InvocationCount IterationCount IterationTime LaunchCount MaxIterationCount MaxWarmupIterationCount MinIterationCount MinWarmupIterationCount RunStrategy UnrollFactor WarmupCount Mean Error StdDev
JoinTest Default False Default Default Default Default Default Default 1111 Empty RyuJit X64 Core False True False True Default Default False False False Default Default Default Default Default Default Default Default 1 Default Default Default Default Default Default Default Default 16 Default 3.033 us 0.0837 us 0.1328 us
BuilderTest Default False Default Default Default Default Default Default 1111 Empty RyuJit X64 Core False True False True Default Default False False False Default Default Default Default Default Default Default Default 1 Default Default Default Default Default Default Default Default 16 Default 8.431 us 0.0713 us 0.0667 us
ConcatinationTest Default False Default Default Default Default Default Default 1111 Empty RyuJit X64 Core False True False True Default Default False False False Default Default Default Default Default Default Default Default 1 Default Default Default Default Default Default Default Default 16 Default 26.927 us 0.4566 us 0.4048 us
